Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
Whiplash: Em Busca da Perfeição,2014,1h 46m,12,"8,5",937 mil,Direção Damien Chazelle,"Damien Chazelle, Miles Teller, J.K. Simmons",Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,https://www.primevideo.com/detail/amzn1.dv.gti.2abc3212-82f7-4c19-63d4-2e29f5240c4d
O Grande Truque,2006,2h 10m,14,"8,5","1,4 mi",Direção Christopher Nolan,"Christopher Nolan, Christian Bale, Hugh Jackman","Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.",https://www.primevideo.com/detail/amzn1.dv.gti.70b125e2-a9bc-e66f-f87d-118719427116
Os Suspeitos,1995,1h 46m,14,"8,5","1,1 mi",Direção Bryan Singer,"Bryan Singer, Kevin Spacey, Gabriel Byrne","O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.",Sem link Prime
Túmulo dos Vagalumes,1988,1h 29m,12,"8,5",297 mil,Direção Isao Takahata,"Isao Takahata, Tsutomu Tatsumi, Ayano Shiraishi",Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.,Sem link Prime
Harakiri,1962,2h 13m,16,"8,6",64 mil,Direção Masaki Kobayashi,"Masaki Kobayashi, Tatsuya Nakadai, Akira Ishihama","Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.",Sem link Prime
Oppenheimer,2023,3h,16,"8,5",459 mil,Direção Christopher Nolan,"Christopher Nolan, Cillian Murphy, Emily Blunt",A história do cientista americano J. Robert Oppenheimer e o seu papel no desenvolvimento da bomba atômica.,https://www.imdb.com/showtimes/title/tt15398776/2023-10-14
Casablanca,1942,1h 42m,Livre,"8,5",593 mil,Direção Michael Curtiz,"Michael Curtiz, Humphrey Bogart, Ingrid Bergman",O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.,https://www.primevideo.com/detail/amzn1.dv.gti.34b864cf-851b-91ec-afaa-4c62938892e0
Intocáveis,2011,1h 52m,14,"8,5",901 mil,Direção Olivier NakacheÉric Toledano,"Olivier Nakache, Éric Toledano, François Cluzet","Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.",Sem link Prime
Tempos Modernos,1936,1h 27m,Livre,"8,5",253 mil,Direção Charles Chaplin,"Charles Chaplin, Charles Chaplin, Paulette Goddard",Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.,Sem link Prime
Cinema Paradiso,1988,2h 35m,10,"8,5",275 mil,Direção Giuseppe Tornatore,"Giuseppe Tornatore, Philippe Noiret, Enzo Cannavale","Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.",https://www.primevideo.com/detail/amzn1.dv.gti.4ea5a19d-52a4-48ae-a95b-1e435839f52d
